season,holiday,workingday,weather,temp,atemp,humidity,windspeed,rent
1,0,0,1,9.84,14.395,81,0.0,2.833213344056216
1,0,0,1,9.02,13.635,80,0.0,3.7135720667043075
1,0,0,1,9.02,13.635,80,0.0,3.4965075614664802
1,0,0,1,9.84,14.395,75,0.0,2.6390573296152584
1,0,0,1,9.84,14.395,75,0.0,0.6931471805599453
1,0,0,2,9.84,12.88,75,6.0032,0.6931471805599453
1,0,0,1,9.02,13.635,80,0.0,1.0986122886681096
1,0,0,1,8.2,12.88,86,0.0,1.3862943611198906
1,0,0,1,9.84,14.395,75,0.0,2.197224577336219
1,0,0,1,13.12,17.425,76,0.0,2.70805020110221
1,0,0,1,15.58,19.695,76,16.9979,3.6109179126442243
1,0,0,1,14.76,16.665,81,19.0012,4.04305126783455
1,0,0,1,17.22,21.21,77,19.0012,4.442651256490317
1,0,0,2,18.86,22.725,72,19.9995,4.553876891600541
1,0,0,2,18.86,22.725,72,19.0012,4.672828834461906
1,0,0,2,18.04,21.97,77,19.9995,4.709530201312334
1,0,0,2,17.22,21.21,82,19.9995,4.543294782270004
1,0,0,2,18.04,21.97,82,19.0012,4.219507705176107
1,0,0,3,17.22,21.21,88,16.9979,3.58351893845611
1,0,0,3,17.22,21.21,88,16.9979,3.6375861597263857
1,0,0,2,16.4,20.455,87,16.9979,3.6109179126442243
1,0,0,2,16.4,20.455,87,12.998,3.5553480614894135
1,0,0,2,16.4,20.455,94,15.0013,3.3672958299864737
1,0,0,2,18.86,22.725,88,19.9995,3.6888794541139363
1,0,0,2,18.86,22.725,88,19.9995,2.8903717578961645
1,0,0,2,18.04,21.97,94,16.9979,2.8903717578961645
1,0,0,2,17.22,21.21,100,19.0012,2.3025850929940455
1,0,0,2,18.86,22.725,94,12.998,1.9459101490553132
1,0,0,2,18.86,22.725,94,12.998,1.3862943611198906
1,0,0,3,17.22,21.21,77,19.9995,1.0986122886681096
1,0,0,2,16.4,20.455,76,12.998,0.6931471805599453
1,0,0,3,16.4,20.455,71,15.0013,2.197224577336219
1,0,0,2,15.58,19.695,76,15.0013,3.044522437723423
1,0,0,2,14.76,17.425,81,15.0013,3.988984046564274
1,0,0,2,14.76,16.665,71,16.9979,4.2626798770413155
1,0,0,2,14.76,16.665,66,19.9995,4.543294782270004
1,0,0,2,14.76,17.425,66,8.9981,4.330733340286331
1,0,0,3,14.76,17.425,76,12.998,4.0943445622221
1,0,0,3,13.94,16.665,81,11.0014,4.31748811353631
1,0,0,3,13.94,16.665,71,11.0014,4.343805421853684
1,0,0,1,13.94,16.665,57,12.998,4.189654742026425
1,0,0,2,14.76,16.665,46,22.0028,3.988984046564274
1,0,0,1,13.12,14.395,42,30.0026,3.4339872044851463
1,0,0,1,12.3,13.635,39,23.9994,3.1354942159291497
1,0,0,1,10.66,11.365,44,22.0028,3.4657359027997265
1,0,0,1,9.84,10.605,44,19.9995,2.3025850929940455
